institution,year,status,total
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,hybrid,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,green,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,closed,15
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,diamond,4
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,gold,5
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,green,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,closed,22
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,diamond,4
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,gold,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,green,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,closed,14
Fafo Institutt for arbeidslivs- og velferdsforskning,2017,diamond,9
Fafo Institutt for arbeidslivs- og velferdsforskning,2017,gold,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2017,hybrid,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2017,green,4
Fafo Institutt for arbeidslivs- og velferdsforskning,2017,closed,6
Fafo Institutt for arbeidslivs- og velferdsforskning,2018,diamond,4
