year,sector,discipline,status,total
2017,all,social_science,green,1079
2017,all,social_science,deposited,1
2017,all,social_science,closed,1224
2017,health,all,diamond,104
2017,health,all,gold,1202
2017,health,all,hybrid,434
2017,health,all,green,700
2017,health,all,deposited,1
2017,health,all,closed,1649
2017,health,humanities,diamond,3
2017,health,humanities,green,5
2017,health,humanities,closed,3
2017,health,health_sciences,diamond,88
2017,health,health_sciences,gold,870
2017,health,health_sciences,hybrid,407
2017,health,health_sciences,green,628
2017,health,health_sciences,deposited,1
2017,health,health_sciences,closed,1527
2017,health,natural_sciences_engineering,diamond,7
2017,health,natural_sciences_engineering,gold,312
2017,health,natural_sciences_engineering,hybrid,20
2017,health,natural_sciences_engineering,green,46
2017,health,natural_sciences_engineering,closed,85
2017,health,social_science,diamond,6
2017,health,social_science,gold,20
2017,health,social_science,hybrid,6
2017,health,social_science,green,16
2017,health,social_science,closed,31
2017,institute,all,diamond,167
2017,institute,all,gold,1028
2017,institute,all,hybrid,516
2017,institute,all,green,1359
2017,institute,all,deposited,1
2017,institute,all,closed,1425
2017,institute,humanities,diamond,19
2017,institute,humanities,gold,4
2017,institute,humanities,hybrid,7
2017,institute,humanities,green,26
2017,institute,humanities,closed,19
2017,institute,health_sciences,diamond,43
2017,institute,health_sciences,gold,267
2017,institute,health_sciences,hybrid,173
2017,institute,health_sciences,green,268
2017,institute,health_sciences,closed,404
2017,institute,natural_sciences_engineering,diamond,38
2017,institute,natural_sciences_engineering,gold,694
2017,institute,natural_sciences_engineering,hybrid,251
2017,institute,natural_sciences_engineering,green,733
2017,institute,natural_sciences_engineering,closed,724
2017,institute,social_science,diamond,67
2017,institute,social_science,gold,60
2017,institute,social_science,hybrid,70
2017,institute,social_science,green,194
2017,institute,social_science,deposited,1
2017,institute,social_science,closed,201
2017,higher_education,all,diamond,976
2017,higher_education,all,gold,3609
2017,higher_education,all,hybrid,1335
2017,higher_education,all,green,5179
2017,higher_education,all,deposited,3
2017,higher_education,all,closed,6507
2017,higher_education,humanities,diamond,271
2017,higher_education,humanities,gold,97
2017,higher_education,humanities,hybrid,34
2017,higher_education,humanities,green,311
2017,higher_education,humanities,deposited,1
2017,higher_education,humanities,closed,442
2017,higher_education,health_sciences,diamond,132
2017,higher_education,health_sciences,gold,1424
2017,higher_education,health_sciences,hybrid,584
2017,higher_education,health_sciences,green,1284
2017,higher_education,health_sciences,deposited,1
2017,higher_education,health_sciences,closed,2080
2017,higher_education,natural_sciences_engineering,diamond,216
2017,higher_education,natural_sciences_engineering,gold,1768
2017,higher_education,natural_sciences_engineering,hybrid,546
2017,higher_education,natural_sciences_engineering,green,2298
2017,higher_education,natural_sciences_engineering,closed,2436
2017,higher_education,social_science,diamond,357
2017,higher_education,social_science,gold,287
2017,higher_education,social_science,hybrid,137
2017,higher_education,social_science,green,973
2017,higher_education,social_science,deposited,1
2017,higher_education,social_science,closed,1093
2018,archives_libraries_museums,all,diamond,2
2018,archives_libraries_museums,all,closed,1
2018,archives_libraries_museums,humanities,diamond,2
2018,archives_libraries_museums,humanities,closed,1
2018,all,all,diamond,1286
2018,all,all,gold,4404
2018,all,all,hybrid,1967
2018,all,all,green,6660
2018,all,all,deposited,11
2018,all,all,closed,7090
2018,all,humanities,diamond,342
2018,all,humanities,gold,91
2018,all,humanities,hybrid,36
2018,all,humanities,green,328
2018,all,humanities,deposited,5
2018,all,humanities,closed,447
2018,all,health_sciences,diamond,157
2018,all,health_sciences,gold,1738
2018,all,health_sciences,hybrid,782
2018,all,health_sciences,green,1577
2018,all,health_sciences,deposited,3
2018,all,health_sciences,closed,2523
2018,all,natural_sciences_engineering,diamond,316
2018,all,natural_sciences_engineering,gold,2175
2018,all,natural_sciences_engineering,hybrid,870
2018,all,natural_sciences_engineering,green,3264
2018,all,natural_sciences_engineering,deposited,2
2018,all,natural_sciences_engineering,closed,2499
2018,all,social_science,diamond,471
2018,all,social_science,gold,380
2018,all,social_science,hybrid,258
2018,all,social_science,green,1139
2018,all,social_science,deposited,1
2018,all,social_science,closed,1186
2018,health,all,diamond,94
2018,health,all,gold,1236
2018,health,all,hybrid,475
2018,health,all,green,887
2018,health,all,deposited,3
2018,health,all,closed,1553
2018,health,humanities,diamond,4
2018,health,humanities,gold,1
2018,health,humanities,hybrid,1
2018,health,humanities,green,3
2018,health,humanities,closed,3
2018,health,health_sciences,diamond,78
2018,health,health_sciences,gold,916
2018,health,health_sciences,hybrid,443
2018,health,health_sciences,green,810
2018,health,health_sciences,deposited,3
2018,health,health_sciences,closed,1436
2018,health,natural_sciences_engineering,diamond,6
2018,health,natural_sciences_engineering,gold,292
2018,health,natural_sciences_engineering,hybrid,20
2018,health,natural_sciences_engineering,green,56
2018,health,natural_sciences_engineering,closed,85
2018,health,social_science,diamond,6
2018,health,social_science,gold,27
2018,health,social_science,hybrid,9
2018,health,social_science,green,16
2018,health,social_science,closed,26
2018,institute,all,diamond,176
2018,institute,all,gold,945
2018,institute,all,hybrid,546
2018,institute,all,green,1436
2018,institute,all,deposited,2
2018,institute,all,closed,1097
2018,institute,humanities,diamond,19
2018,institute,humanities,gold,6
2018,institute,humanities,hybrid,5
2018,institute,humanities,green,27
